customer_msg,reply_k1,judge_k1,reply_k3,judge_k3,reply_k0,judge_k0
"@hulu_support Eww! Hulu's community managers have to work on Saturday nights! God, I'm so sorry. Are you okay? Do you need help? Blink twice if you need rescued!",Got your message loud and clear! How can we assist you tonight? Feel free to share any details you think might help. 🌟,5,"Got your message loud and clear! We're here to help whenever you need us. Let us know more details if you're running into issues, and we'll get back to you soon. 🙏",5,"We understand you might be feeling frustrated, and we apologize for any inconvenience. If you need assistance, feel free to reach out, and we'll do our best to help.",5
@hulu_support So I should pay for 2 Hulu accounts just to get another screen view without live tv? Is that what you’re suggesting?,"Hi! Per our current policies, base plan users can watch on one device at a time. A workaround is to sign up for a second base account. Let me know if you have any other questions.",5,"Hi! Per our current policies, base plan users can watch on one device at a time. To access multiple screens, you may consider signing up for a second base account. Let us know if you have any other questions!",5,"To enjoy viewing content on an additional screen, you would need a second Hulu subscription. Live TV requires a separate plan. Let us know if you have any other questions.",5
"@hulu_support It is usually during ads, yes.","Yikes! Please try: https://t.co/Mt3KPvSvqy. If no change, contact us via phone/chat here: https://t.co/6YdK7bvQN7.",5,Gotcha. What specific brand of smart TV are you using? Did the steps we sent previously help at all?,5,"We understand that ads can sometimes interrupt your viewing experience. Thank you for letting us know, and we appreciate your feedback.",3
@hulu_support I am experiencing Teal-8 please advise as soon as possible. I just switched to Hulu TV I hope I haven't made a mistake.,Is this issue occurring on a specific channel? Our team is looking into this with high priority. Apologies for the inconvenience.,5,"Thanks for letting us know! That Teal-8 error can be frustrating. If it's showing up while watching NBC, our team is looking into it with high priority. In the meantime, try restarting your device: https://t.co/qeNe09yc0o",4,"We're sorry to hear you're experiencing issues with Hulu TV. It sounds like you might be encountering a technical problem. Please let us know more about what you're seeing, and we'll do our best to assist you as soon as possible.",4
@115940 I'm new to Hulu. Not impressed so far. Never had to deal w commercials every 6-7 mins on other streaming services.,"Sorry to hear you're not impressed! We try to keep ads to a reasonable length, but it can vary. We'll share your feedback!",5,"We understand your feedback! The number of commercials can vary based on the show and network. We'll pass this along to our team. Also, check out our No Commercials Add-on if you prefer commercial-free viewing: https://t.co/cZHqrcmWQY.",5,"We appreciate your feedback, and we're sorry to hear you're finding Hulu less enjoyable than expected. Commercial breaks can be disruptive, and we're constantly working to improve the viewing experience for all our users.",4
@hulu_support I'm still having issues this morning with live service. Constant buffering and skipping around. What gives?,"So sorry to hear you're still experiencing issues! Our team has been looking into this, and we're hopeful the problem is resolved. Please give it a try now.",5,"So sorry to hear about the buffering! Our team has been looking into this. Try streaming now, the issue might be resolved. If not, let's check if a quick reboot of your device+modem helps.",5,We're sorry to hear you're experiencing issues with constant buffering and skipping. We're looking into the cause and will work to resolve it as soon as possible. Thank you for your patience.,4
@232593 @115940 On the east coast. Tired but must watch @232593 season finale. Bring us a 3rd Season!,"Hi! We don’t currently have any info about a third season of the show, but we’ll share your interest with the team. Thanks for watching!",5,"We're glad you enjoyed the finale! We don't currently have any information about a third season, but we'll share your interest with the team. Thanks for watching!",5,We understand you're eagerly awaiting the season finale and hope you find the third season just as engaging. We'll make sure your request is noted for future consideration. Enjoy your watch!,4
@hulu_support Where do I find settings?? Not on computer &amp; can't find it on the TV screen.,Got it! Did you try pressing the (*) button during playback to see if that brings up any settings options? Let us know if that helps or if you need further assistance.,5,"Got it! To check your settings, try heading to Settings via Roku Main Menu. Let us know if that helps!",5,"To access settings on your computer, visit the Hulu website in your browser. For your TV, look for the settings menu within the Hulu app or using the remote control's guide button. If you need more assistance, feel free to reach out!",4
wtf happened to episode 2 &amp; 3 of the good doctor @hulu_support,Hi! We can offer the 5 most recent episodes for on-demand subscriptions. All episodes available with: https://t.co/O9QhZdLbxw,5,Hi! We can offer the 5 most recent episodes for on-demand subscriptions. All episodes available with: https://t.co/O9QhZdLbxw,5,"We're sorry to hear you missed episodes 2 and 3 of The Good Doctor. We've noted your issue, and our team will look into it. Please check your account to ensure you have access to all episodes.",3
"@hulu_support I don't have a timestamp because it happened like three days ago, and no, just seems to be during Peep Show. Maybe have no ads at all?","Got it! If this is happening during Peep Show, let's check it out. Call or chat us (https://t.co/6YdK7bvQN7) if you need help with ad-free viewing or any other issues: https://t.co/Vhwt8NxkrE.",5,"Got it! Thanks for bringing this to our attention. If you'd like us to look into it, let us know more about your experience with Peep Show, and we can check it out. https://t.co/Vhwt8NxkrE",5,"We understand your feedback about the ads during Peep Show. We appreciate you letting us know. Turning off ads entirely is a great suggestion, and we'll consider it for future enhancements.",4
@hulu_support Getting an authentication error on my Nintendo Wii. Hulu works fine on my laptop but I want to watch on my television.,"Sorry! It sounds like you might be experiencing a device-specific issue. Hulu works fine on your laptop, so it could be related to your Nintendo Wii. Please call the number listed here: https://t.co/LkhXOWWq74 for assistance. 📲",5,We understand the frustration this is causing. Our team is investigating this issue. Please try reaching out to us here for assistance: https://t.co/LkhXOWWq74. 📲,5,We're sorry to hear you're experiencing issues with Hulu on your Nintendo Wii. Authentication errors can sometimes occur due to network or device settings. Please ensure your Wii is connected to the internet and try signing out and signing back in to your account.,5
I don't know who doesn't allow it but the entire show of @132338 #RAW needs to be shown on @115940. So much good stuff is missed.,Sorry for any disappointment! We receive full episodes directly from the provider. We'll share your request.,5,We understand the desire to see the full #RAW episodes. We'll make sure this feedback reaches our content team. Stay tuned for updates on our lineup!,4,We appreciate your feedback about #RAW and are glad you enjoyed it. We'll consider your suggestion and share updates on our plans with the show.,4
Oh course @115940 logs me out and won't let me back in right as all my shows come back on! 😭,Eek! That's frustrating. When does it happen? Let's try: https://t.co/HXpLyTU79x.,5,That's so frustrating! Still having trouble? Have you tried: https://t.co/eJgyvCWdBS and calling us if it doesn't change?,4,"We're sorry to hear you're having trouble logging in. This issue can sometimes occur, and we're here to help troubleshoot. Please let us know if you've tried signing out and back in or resetting your password.",4
@hulu_support it's a real shame you guys don't invest in having a working Android app.  It makes it hard to invest money in your product.,"Sorry, folks! We hear you loud and clear. Could you share more details about the issues you're facing with the Android app? For now, try: https://t.co/bKrKTfspC1.",5,Sorry to hear about the Android app experience! Let's see if these steps help: https://t.co/bKrKTfspC1. Any error messages you can share?,5,We appreciate your feedback and understand the importance of a seamless Android app experience. We continuously work on improving our apps to better serve our users like you.,3
@115940 PLEASE GET THE MAKING THE BAND SEASONS! #DanityKane @65272,Hi there! Thanks for the suggestion. We'll let our content team know you're excited for more Making the Band seasons on Hulu! 🎉 💃,5,Thanks for the suggestion! We'll let our content team know you're excited for more Making the Band seasons on Hulu. 🎉 👩‍🎤,5,We appreciate your feedback and interest in 'Making the Band' seasons featuring Danity Kane. We'll pass your request along to our content partners. Thank you for supporting Hulu!,4
"@hulu_support wtf? Was just watching 30 for 30 ric flair, paused it to go outside, now not available????? Have it added to my stuff to record and it's not playing!!! Ruining my bday drinking game!!!!","Apologies! Is this happening on an iOS device? If so, have you tried the steps here: https://t.co/C3IOhQGizS?",5,"That shouldn't be happening! Please try pausing and resuming the playback or rebooting your device. If that doesn't work, let us know via phone/chat: https://t.co/6YdK7bvQN7.",5,"We're sorry to hear you're having trouble with your recording. It sounds like there might be an issue with the playback. Could you please check if the video is still listed in your library? If not, we recommend signing out and back in to refresh your library. If the problem persists, feel free to reach out for further assistance.",4
@hulu_support hulu crashes on me every 20 minutes or so. Every single day,Apologies for the frequent crashes! Let's try: https://t.co/HXpLyTU79x. Call or chat if the issue persists (https://t.co/6YdK7bvQN7).,5,"Our apologies for the recurring issues! Could you let us know which device you're using? For now, try: https://t.co/HXpLyTU79x. We're here to help turn things around!",5,"We're sorry to hear you're experiencing issues with Hulu crashing. We take these problems seriously and are here to help. Could you please provide more details about your issue, such as your device and any error messages, so we can assist you better?",5
@hulu_support Any plans to include AMC with live TV package?,"While we don't currently offer AMC as part of the live TV package, we appreciate you sharing your interest with us! We'll pass this along to our team.",5,"Always keeping your interest in mind! While we don't currently offer AMC in our live TV lineup, we'll pass this along to our team. Stay tuned for any updates!",5,"We appreciate your interest in expanding our live TV offerings. While we don't have any specific plans to include AMC at this time, we continuously evaluate new channels and content to enhance our service. Thank you for your feedback!",4
@hulu_support I thought the point of my “watchlist” was so I didn’t have to actually search the show every time a new episode happens. I’m reallyyyyy annoyed.,"Apologies for any frustration! If you find the watchlist isn't meeting your needs, please give us a call at https://t.co/6YdK7bvQN7. We'll share your feedback!",5,"Apologies for any frustration! For help with your watchlist, feel free to call: https://t.co/6YdK7bvQN7. We'll share the feedback!",5,We understand your frustration with the watchlist feature. We're here to help you find the best way to stay updated on your shows. Let's work together to improve your experience!,3
"When will Life on the Murder Scene, the My Chemical Romance documentary that is a rich piece of American film history, be available on streaming services? @115940 @116602 care to speak on this?","Good day! We understand your interest in 'Life on the Murder Scene,' the My Chemical Romance documentary. We don't have any updates to share at this time, but we promise it's on our radar!",4,"We understand the interest in 'Life on the Murder Scene,' the My Chemical Romance documentary. While we don't have any updates to share at this time, we'll make sure to pass your request along!",5,"We appreciate your interest in 'Life on the Murder Scene' and your passion for American film history. While we don't have a specific release date for this documentary, we're always looking to expand our library with a variety of content. Please stay tuned for updates!",4
Hey @hulu_support can ya help me out I don't have time to wait on hold! Thanks!!,"Sorry for any inconvenience, can we assist you via Twitter or start a chat here: https://t.co/6YdK7bvQN7?",5,Sorry for the delay! Let us know how we can assist you via Twitter or start a chat here: https://t.co/6YdK7bvQN7.,5,"We understand your time is valuable. Let's get your issue resolved quickly. Please provide some details about your concern, and we'll assist you right away.",4
"@115940 when are you going to stream #mash ? It's past ""late summer"" already","No set date yet, but we're keeping an eye on MASH! Stay tuned for updates in our release schedule: https://t.co/r9MCqHxrfq",5,"We understand the excitement! We don't have a specific date to share yet, but we'll make sure to pass your interest along to our team. Keep an eye on: https://t.co/r9MCqHxrfq for updates!",5,,1
@hulu_support NBC in Cincinnati “temporarily unavailable”.  Makes it difficult to watch Sunday Night Football.,"Oh no! Our sincere apologies for the difficulty you're experiencing. Can you please let us know your city (Cincinnati), state, and the streaming devices you're using?",5,"Oh no! Our sincere apologies for the trouble. Can you let us know your city, state, and the streaming devices affected? We're here to help!",5,We're sorry to hear that you're experiencing issues with NBC in Cincinnati. We're working to resolve the availability as soon as possible. Thank you for your patience.,5
You're killing me @115940! Playback failure every commercial break! This is not the time to choke. #WorldSeries2017,"Playback issues can vary depending on your internet connection. We'll pass along your feedback! If you prefer, we also offer ad-free plans: https://t.co/cZHqrcExIw.",5,"Our sincere apologies for the playback issues! This problem has now been resolved, but we appreciate your patience. If you're still experiencing trouble, let us know!",4,We're sorry to hear you're experiencing playback issues during commercial breaks. We're here to help resolve this as soon as possible. Could you please provide some details about your issue so we can assist you better?,5
"@hulu_support Just got Hulu Live Beta will you be adding AMC , BET, VH1, MTV and WE Tv?","Hey! We're always listening to what our viewers want. AMC, BET, VH1, MTV, and WE TV are definitely on our radar. Got any other channels you'd like to suggest? 👍🏽",5,"Hey! We're always excited to hear what you'd like to see on Hulu Live. Could you let us know your thoughts on any specific titles you're interested in, like AMC, BET, VH1, MTV, or WE TV? We'll share your interest with our team!",5,"Thank you for reaching out! We're excited to have you on Hulu Live Beta. While we can't guarantee specific channels, we're always working to expand our lineup to offer you the best viewing experience. Please stay tuned for updates!",4
"@hulu_support I Hate to say this, but your services absolutely awful once again I cannot watch the World Series. I am beyond angry!","We're sorry to hear you're frustrated, especially during such a big event. We had an issue earlier that affected live streaming, but it has since been resolved. Could you please check if you're still experiencing problems?",5,"Sorry to hear that! We had some issues with live TV earlier, but it should be resolved now. Have you tried checking if the issue is with your device or network: https://t.co/HXpLyTU79x?",5,"We're sorry to hear you're having trouble watching the World Series. We understand how frustrating this can be, and we're here to help resolve the issue as quickly as possible. Please let us know more about the problem so we can assist you.",4
@hulu_support it is a roku TV actually,This sounds like something we're looking into. Please try: https://t.co/wAoEicy9CF. If no change ➡️  https://t.co/6YdK7bvQN7.,5,This sounds like something we're looking into. Please try: https://t.co/wAoEicy9CF. If no change ➡️ https://t.co/6YdK7bvQN7. ✅,5,"Thank you for reaching out. It sounds like you might have selected the wrong device type. Please let us know the issue you are experiencing, and we will do our best to assist you.",4
@hulu_support These were first things I done. I never had problems with most competing streaming providers. Using channel app solved buffer issue. (1/2),"We're sorry to hear about the buffering issues you've experienced. We understand your frustration, and we're working to ensure this doesn't happen again. Thank you for trying the channel app; we appreciate your feedback!",5,We're sorry to hear about the buffering issues! Have you tried using WiFi on your device? It might help with the playback. Let us know if you need any further assistance!,5,"We're sorry to hear you're experiencing playback issues. Many users have found success using the channel app to improve buffering. If you continue to experience problems, please let us know, and we'll do our best to assist you.",4
@115940 when are you going to change the website over to the new UI so it matches the AppleTV? It has been months since the switch and we still have two lists to keep track of between the website and apps.,Thanks for your feedback! We're actively considering user input to make improvements. Share your thoughts here: https://t.co/n4qDfJdbFR.,5,Thanks for your feedback! We're always looking to improve based on user input: https://t.co/n4qDfJdbFR. Let us know if there's anything specific you'd like to see changed!,5,"We appreciate your feedback and are constantly working on improving the Hulu experience. We aim to provide a more unified interface across all platforms, including the website and Apple TV, to make your viewing experience smoother. Thank you for your patience as we continue to enhance our services.",4
@hulu_support do you carry the Channel- Fox College Sports?,"To check if Fox College Sports is available in your area, please enter your ZIP code here: https://t.co/rjjbP5u0Fj.",5,"To check if Fox College Sports is available in your area, please enter your ZIP code here: https://t.co/rjjbP5u0Fj.",5,Hulu currently does not include Fox College Sports in our lineup. We appreciate your interest and hope to offer more sports channels in the future.,3
"Hey, Hulu. It's Wednesday. Still no NBC live (ever since Sunday Night Football). All other channels are fine. I'm in the Seattle area 98155. @115940 @hulu_support",We're sorry for the ongoing issue with NBC. Our team is still investigating—please bear with us as we work to resolve this. Thank you for your patience!,5,"We're sorry for the continued trouble with NBC live. Our team is still investigating this issue, and we appreciate your patience. We'll keep working to resolve it as soon as possible.",5,We're sorry to hear you're having trouble with NBC live TV. We're investigating an issue that may be affecting some users in the Seattle area. We'll keep you updated on any progress.,4
I wish season 3&amp;4 of Gravity Falls was on @115940 @hulu_support,Get riggity riggity wrecked today with our new live TV plan! Season 3 and 4 should be added to our base plan after the finales have aired.,5,"Got it, Gravity Falls fans! Mr. Krabs is on the case, but no date yet. Keep an eye on your WL/My Stuff for updates!",4,"We appreciate your interest in Gravity Falls seasons 3 and 4. While we don't currently have them available, we're always looking to expand our library based on customer feedback. Please let us know if there are any other shows or movies you'd like to see!",4
"@hulu_support Hulu app is stuck on ""Welcome, Robert"" screen. Is the service down?","Oh no! Is the Hulu app getting stuck on the 'Welcome, Robert' screen? Let's try restarting your device and modem/router.",5,"Oh no! Is the Hulu app stuck on the 'Welcome, Robert' screen? Let's try exiting and re-entering the app, or powering off your device and modem/router. Let us know if that helps!",5,"We're sorry to hear you're experiencing issues with the Hulu app. It sounds like the app might be stuck on the welcome screen. Try restarting your device and the app, or clear the app cache. If the issue persists, please let us know!",4
@hulu_support I just signed up solely so I can watch Last Man Standing.  When will it be available?,"Thank you for signing up to watch Last Man Standing! At this time, we do not have the rights to stream the show but we will definitely share your interest with our team!",5,"Hi there! We appreciate your interest in Last Man Standing. At this time, we don't have the rights to stream the show. We'll be sure to share your interest with our team!",5,Thank you for reaching out! We appreciate your interest in 'Last Man Standing.' Please check back regularly as we'll notify subscribers when new shows become available. Enjoy your Hulu experience!,3
"Hey @115940 why does my firestick overheat ONLY on your new app
Sidebar, why does your app run like garbage","Got it! It sounds like you're having some heat and performance issues with the Hulu app on your Firestick. Have you tried restarting your Firestick or checking the app's settings? Sometimes, giving the app a bit of a reset can help. Let me know if that does the trick!",5,"Oh no! We're sorry to hear about the issues with the new app on your Firestick. Let's try running through these steps: https://t.co/TR6ei0cnf1 and https://t.co/HXpLyTU79x. If the problem persists, let us know!",5,"We're sorry to hear about the issues you're experiencing with the Hulu app on your Firestick. Overheating can be due to various factors, and we're here to help troubleshoot. Let's work together to find a solution.",4
"@hulu_support any idea why WCNC (NBC) in Charlotte,NC keeps going ""unavailable""? Been happening on/off for a week?",That's frustrating! Could you check which device you're using and your location? A quick device reboot might help.,5,"We apologize for the ongoing issue! Please check if a quick device reboot helps. Let us know if you're using a specific device and your location (Charlotte, NC).",5,"We're sorry to hear that you're experiencing issues with WCNC (NBC) in Charlotte, NC being unavailable. We're looking into the service disruptions and will work to resolve them as soon as possible. Thank you for your patience.",4
