customer_msg,msg_clean,brand_reply,cluster,stratum,intent,should_escalate,escalation_reason
@115940 HuluTV outage during the World Series......y'all are killing me,HuluTV outage during the World Series......y'all are killing me,@449163 Sorry to hear about the trouble! We're here to help get you back in action. What device is this and do you get an error message?,2,rare_boost,,,
@115940 can't watch anything. What's up? 🤷🏾‍♂️,can't watch anything. What's up? 🤷🏾‍♂️,@351454 Sorry for the trouble and delay! We followed up with more details here: https://t.co/wsKtvb6orT. Thanks for your patience!,8,natural,,,
@hulu_support I don’t know why it would be on demand. My zip is 49525. Wouldn’t be a blackout issue.,I don’t know why it would be on demand. My zip is 49525. Wouldn’t be a blackout issue.,"@263577 While we do offer NBC live in many areas, it is currently on-demand in your ZIP. We'll  share the interest in adding this affiliate!",3,natural,,,
"@hulu_support idk why im signed out on my wii, it wont let me sign in or give me an activ. code, im signed in online but cant get to my acct","idk why im signed out on my wii, it wont let me sign in or give me an activ. code, im signed in online but cant get to my acct","@198663 Apologies, Carissa! There was a brief period where this error was popping up, but the issue has now been resolved. 💜",3,natural,,,
@hulu_support @115940 Update sucks and now we can't even watch! Listen to your customer feedback https://t.co/TLSfb1QDrs,Update sucks and now we can't even watch! Listen to your customer feedback,"@340351 Sorry for the error, we'd love to see if some troubleshooting will clear it out. What device? Try: https://t.co/HXpLyTU79x.",8,natural,,,
@115940 Why do I always have to tell you I'm the one watching? I only have 1 profile. Please let me skip this step.,Why do I always have to tell you I'm the one watching? I only have 1 profile. Please let me skip this step.,"@291629 Apologies, Shane. At this stage, this is intended on living room devices. We'll definitely keep voicing your concern.",3,natural,,,
@hulu_support Hulu Live has been unwatchable for more than 24 hrs. Want an explanation. Next will ask for a credit. Constant buffering/ no video playback,Hulu Live has been unwatchable for more than 24 hrs. Want an explanation. Next will ask for a credit. Constant buffering/ no video playback,"@187187 Should you still be running into this or for credit options, please contact us via phone/chat: https://t.co/6YdK7bvQN7. 2/2",9,natural,,,
My god @115940 your live stream of the SEC Championship game is atrocious. Spent more time looking at the buffering screen but o0o0o0 the commercials show perfectly....#irritated,My god your live stream of the SEC Championship game is atrocious. Spent more time looking at the buffering screen but o0o0o0 the commercials show perfectly....#irritated,"@251340 Our sincere apologies! We're investigating with high priority and working to resolve this ASAP. For now, try using: https://t.co/qeNe09yc0o on a supported device (https://t.co/MRh7LxlQXc).",9,natural,,,
Bro why tf Hulu wont work on my ipad🙄,Bro why tf Hulu wont work on my ipad🙄,@143367 Yikes! Still having trouble? What issues are you coming across? Let's try: https://t.co/C3IOhQGizS. Any improvement?,5,natural,,,
@hulu_support the last 2 days we’ve had buffering on #Futureman episode 2 via PS4 app in Seattle. WA. We haven’t been able to finish. Thanks for looking into it!,the last 2 days we’ve had buffering on #Futureman episode 2 via PS4 app in Seattle. WA. We haven’t been able to finish. Thanks for looking into it!,@730340 Oh no! Let's get you streaming smoothly. Any improvement after restarting your PS4 and working through: https://t.co/jo8RWfepy3?,1,rare_boost,,,
@115940 @hulu_support all I want to do is watch last nights greys anatomy and it keeps freezing every 5 seconds. WTF. ps my WiFi is fine,all I want to do is watch last nights greys anatomy and it keeps freezing every 5 seconds. WTF. ps my WiFi is fine,"@374091 Apologies, Devon! Which device are you using to stream? See if these steps help out: https://t.co/HXpLyTU79x. Any better?",8,natural,,,
@115940 @hulu_support  Please Add all season(s) of 'Who's Line is it Anyway?'  As well as the Sitcom 'According to Jim',Please Add all season(s) of 'Who's Line is it Anyway?' As well as the Sitcom 'According to Jim',@291599 We can happily share the interest in more Who's Line and in adding According to Jim with our content team!,7,rare_boost,,,
"Dear @115940, please fix the order of #DawsonsCreek episodes in season 2. “Psychic Friends” is not the second episode. 😡","Dear , please fix the order of #DawsonsCreek episodes in season 2. “Psychic Friends” is not the second episode. 😡",@509334 We weren't able to reproduce this on our end. What device are you using when Psychic Friends is listed as season 2 episode 2?,4,rare_boost,,,
Handmaid's Tale season 2 when @115940 @hulu_support,Handmaid's Tale season 2 when,"@716797 Blessed be the fruit. S2 will premiere in 2018, but stay tuned to: https://t.co/7ajAOtwFBY for more updates. Under his eye. 👁",7,natural,,,
"@hulu_support Eww! Hulu's community managers have to work on Saturday nights! God, I'm so sorry. Are you okay? Do you need help? Blink twice if you need rescued!","Eww! Hulu's community managers have to work on Saturday nights! God, I'm so sorry. Are you okay? Do you need help? Blink twice if you need rescued!","@682440 It's no trouble at all, knowing that viewers like you have our back! Thanks, fam. 🤗👏  We’re just a tweet away if you need us!",5,rare_boost,,,
@hulu_support So I should pay for 2 Hulu accounts just to get another screen view without live tv? Is that what you’re suggesting?,So I should pay for 2 Hulu accounts just to get another screen view without live tv? Is that what you’re suggesting?,"@534173 Hi, Charise! Hope you're having a great day so far. Another account would be an option, not a suggestion. We'll share the feedback!",0,rare_boost,,,
"@hulu_support It is usually during ads, yes.","It is usually during ads, yes.",@682441 Thanks! We're investigating. We recommend using a different device if troubleshooting doesn't resolve: https://t.co/hYA1Rc0GBl.,3,natural,,,
@hulu_support I am experiencing Teal-8 please advise as soon as possible. I just switched to Hulu TV I hope I haven't made a mistake.,I am experiencing Teal-8 please advise as soon as possible. I just switched to Hulu TV I hope I haven't made a mistake.,"@377375 Hi! Are you running into this error when attempting to watch NBC live? If so, we're investigating this and working on a fix!",5,rare_boost,,,
@115940 I'm new to Hulu. Not impressed so far. Never had to deal w commercials every 6-7 mins on other streaming services.,I'm new to Hulu. Not impressed so far. Never had to deal w commercials every 6-7 mins on other streaming services.,"@252548 Apologies! By offering ads on our base plan we're able to provide a more affordable option, but if you prefer no interruptions, we also have a No Commercials plan: https://t.co/cZHqrcmWQY.",5,natural,,,
@hulu_support I'm still having issues this morning with live service. Constant buffering and skipping around. What gives?,I'm still having issues this morning with live service. Constant buffering and skipping around. What gives?,@621021 So sorry! The live playback issues happening this weekend have been investigated/resolved: https://t.co/iwd4qdktMg.,9,natural,,,
@232593 @115940 On the east coast. Tired but must watch @232593 season finale. Bring us a 3rd Season!,On the east coast. Tired but must watch season finale. Bring us a 3rd Season!,"@279593 We're so happy to hear you're interested in seeing more of Chance! We don't have any news to share at this time, but please keep: https://t.co/7ajAOtwFBY bookmarked for any future announcements. We'll pass along the interest in the meantime! 💚",7,natural,,,
@hulu_support Where do I find settings?? Not on computer &amp; can't find it on the TV screen.,Where do I find settings?? Not on computer &amp; can't find it on the TV screen.,"@239256 From the Roku home menu, you should see a list of options—including “My Channels,” “Channel Search,” “Store,” and “Settings.”",0,rare_boost,,,
wtf happened to episode 2 &amp; 3 of the good doctor @hulu_support,wtf happened to episode 2 &amp; 3 of the good doctor,@287186 Sorry! Our streaming rights to The Good Doctor now only allow us to post the 5 most recently aired eps. We'll share your feedback!,4,natural,,,
"@hulu_support I don't have a timestamp because it happened like three days ago, and no, just seems to be during Peep Show. Maybe have no ads at all?","I don't have a timestamp because it happened like three days ago, and no, just seems to be during Peep Show. Maybe have no ads at all?","@422706 Gotcha. If you notice it happening again, let us know the timestamp and we'll investigate. For no ads: https://t.co/cZHqrcmWQY.",3,natural,,,
@hulu_support Getting an authentication error on my Nintendo Wii. Hulu works fine on my laptop but I want to watch on my television.,Getting an authentication error on my Nintendo Wii. Hulu works fine on my laptop but I want to watch on my television.,"@198536 Sorry for the delay! Is this issue still occurring? If so, try: https://t.co/HXpLyTU79x and https://t.co/mUY9PJx9Lw.",8,rare_boost,,,
I don't know who doesn't allow it but the entire show of @132338 #RAW needs to be shown on @115940. So much good stuff is missed.,I don't know who doesn't allow it but the entire show of #RAW needs to be shown on . So much good stuff is missed.,"@793439 Hey, Matthew! The content owner provides us with a 90 minute special, so we don't make any edits on our end.",3,natural,,,
Oh course @115940 logs me out and won't let me back in right as all my shows come back on! 😭,Oh course logs me out and won't let me back in right as all my shows come back on! 😭,@183414 Sorry to hear of the trouble Katelyn. Still having trouble logging in? Try powering down the device for 1 minute. Better?,3,natural,,,
@hulu_support it's a real shame you guys don't invest in having a working Android app.  It makes it hard to invest money in your product.,it's a real shame you guys don't invest in having a working Android app. It makes it hard to invest money in your product.,"@500674 Sorry for any frustrations, Stuart! Having trouble loading our app or w/ playback? If so, try: https://t.co/bKrKTfspC1.",3,natural,,,
@115940 PLEASE GET THE MAKING THE BAND SEASONS! #DanityKane @65272,PLEASE GET THE MAKING THE BAND SEASONS! #DanityKane,"@487167 Hey there! We can't make any promises, but we'll gladly share your request for Making the Band to come to Hulu in the future.💜",3,natural,,,
"@hulu_support wtf? Was just watching 30 for 30 ric flair, paused it to go outside, now not available????? Have it added to my stuff to record and it's not playing!!! Ruining my bday drinking game!!!!","wtf? Was just watching 30 for 30 ric flair, paused it to go outside, now not available????? Have it added to my stuff to record and it's not playing!!! Ruining my bday drinking game!!!!","@619951 Our sincere apologies, Anton! What device are you using to stream? Does the content work from Browse &gt; Networks &gt; A-Z?",9,rare_boost,,,
@hulu_support hulu crashes on me every 20 minutes or so. Every single day,hulu crashes on me every 20 minutes or so. Every single day,@304275 Oh no! That's not the experience we want you to have. What device is in use? Any errors? Start with: https://t.co/HXpLyTU79x.,5,natural,,,
@hulu_support Any plans to include AMC with live TV package?,Any plans to include AMC with live TV package?,"@195216 Hiya Jean! We're unable to offer AMC live due to streaming rights, but we'll gladly share your request with our team! 💚",6,rare_boost,,,
@hulu_support I thought the point of my “watchlist” was so I didn’t have to actually search the show every time a new episode happens. I’m reallyyyyy annoyed.,I thought the point of my “watchlist” was so I didn’t have to actually search the show every time a new episode happens. I’m reallyyyyy annoyed.,"@173823 This is a known issue our team is working to resolve, Chanel. Once that's pushed out, things should be back to normal for you.",4,rare_boost,,,
"When will Life on the Murder Scene, the My Chemical Romance documentary that is a rich piece of American film history, be available on streaming services? @115940 @116602 care to speak on this?","When will Life on the Murder Scene, the My Chemical Romance documentary that is a rich piece of American film history, be available on streaming services? care to speak on this?","@222502 Hey, Kim! Great suggestion--while we don't currently have the streaming rights, we'll be sure to share the interest in adding Life on the Murder Scene with our content team!",3,natural,,,
Hey @hulu_support can ya help me out I don't have time to wait on hold! Thanks!!,Hey can ya help me out I don't have time to wait on hold! Thanks!!,"@619522 Sorry! If you're still having trouble, let us know the details. For account-related concerns, please reach back out via phone/chat.",1,rare_boost,,,
"@115940 when are you going to stream #mash ? It's past ""late summer"" already","when are you going to stream #mash ? It's past ""late summer"" already","@238418 Sorry for any frustration, Kristy! Our team is working to get the 4077th ready for streaming, but sadly, we don't have any exact dates to share yet. If there is anything else we can assist with in the meantime, don't hesitate to let us know.",3,rare_boost,,,
@hulu_support NBC in Cincinnati “temporarily unavailable”.  Makes it difficult to watch Sunday Night Football.,NBC in Cincinnati “temporarily unavailable”. Makes it difficult to watch Sunday Night Football.,"@675364 Sorry! This is a known issue we're looking into. For now, you can watch the game here: https://t.co/TlLflxFPZp.",8,rare_boost,,,
You're killing me @115940! Playback failure every commercial break! This is not the time to choke. #WorldSeries2017,You're killing me ! Playback failure every commercial break! This is not the time to choke. #WorldSeries2017,@412834 Sorry for the delay in getting back to you! Let us know what device this is on. Have you tried out: https://t.co/HXpLyTU79x?,3,natural,,,
"@hulu_support Just got Hulu Live Beta will you be adding AMC , BET, VH1, MTV and WE Tv?","Just got Hulu Live Beta will you be adding AMC , BET, VH1, MTV and WE Tv?","@527051 Hi, Alva! No news to share, but we'll definitely express your interest in seeing these networks added to our Live TV service.",6,rare_boost,,,
"@hulu_support I Hate to say this, but your services absolutely awful once again I cannot watch the World Series. I am beyond angry!","I Hate to say this, but your services absolutely awful once again I cannot watch the World Series. I am beyond angry!","@117295 Apologies, Ray! What sort of issue are you running into? Are you still using Apple TV? Have you tried: https://t.co/HQL1KwGgWo?",2,natural,,,
@hulu_support it is a roku TV actually,it is a roku TV actually,"@399137 Thanks for that! Clicking on a show brings up the Details and just to the right is Episodes, which has all seasons/episodes.",6,natural,,,
@hulu_support These were first things I done. I never had problems with most competing streaming providers. Using channel app solved buffer issue. (1/2),These were first things I done. I never had problems with most competing streaming providers. Using channel app solved buffer issue. (1/2),"@327902 We'd love to send some more custom troubleshooting your way! Which devices are you using? If site, try: https://t.co/6xNmexfdiX.",3,natural,,,
@115940 when are you going to change the website over to the new UI so it matches the AppleTV? It has been months since the switch and we still have two lists to keep track of between the website and apps.,when are you going to change the website over to the new UI so it matches the AppleTV? It has been months since the switch and we still have two lists to keep track of between the website and apps.,"@795114 Sorry for any trouble! No release date to share, but we're always working on adding more supported devices to the new experience.",3,natural,,,
@hulu_support do you carry the Channel- Fox College Sports?,do you carry the Channel- Fox College Sports?,"@556322 It's not currently included with our offering, but we can let our team here know you'd love to see it added in the future.",3,natural,,,
"Hey, Hulu. It's Wednesday. Still no NBC live (ever since Sunday Night Football). All other channels are fine. I'm in the Seattle area 98155. @115940 @hulu_support","Hey, Hulu. It's Wednesday. Still no NBC live (ever since Sunday Night Football). All other channels are fine. I'm in the Seattle area 98155.",@230708 Our sincerest apologies! We greatly appreciate your continued patience as we work to resolve this issue.,9,natural,,,
I wish season 3&amp;4 of Gravity Falls was on @115940 @hulu_support,I wish season 3&amp;4 of Gravity Falls was on,@597648 Hey Veronica! We'd be more than happy to pass that request along to our content team for you. Thanks for tweeting us. 👍,7,rare_boost,,,
"@hulu_support Hulu app is stuck on ""Welcome, Robert"" screen. Is the service down?","Hulu app is stuck on ""Welcome, Robert"" screen. Is the service down?","@408020 Oh no! We're sorry to hear about the trouble you're having, Robert. What device are you using? Start here: https://t.co/HXpLyTU79x",0,natural,,,
@hulu_support I just signed up solely so I can watch Last Man Standing.  When will it be available?,I just signed up solely so I can watch Last Man Standing. When will it be available?,"@481122 Sorry for the confusion, Bill! We don't have the rights to Last Man Standing. We'll express your desire in seeing it added to Hulu.",8,natural,,,
"Hey @115940 why does my firestick overheat ONLY on your new app
Sidebar, why does your app run like garbage","Hey why does my firestick overheat ONLY on your new app Sidebar, why does your app run like garbage","@302569 If: https://t.co/TR6ei0cnf1 doesn't fix the overheating, chat or call: https://t.co/6YdK7bvQN7. We'll take a closer look. 2/2",3,rare_boost,,,
