customer_msg,msg_clean,brand_reply,cluster,stratum,intent,should_escalate,escalation_reason,customer_tweet_id,thread_root,is_adversarial,adversarial_kinds,is_sensitive,is_thread_start,labelled_by
@115940 anymore episodes of freakish S2? cause I got to E10 and I’m still very very eager to know what else is going on,anymore episodes of freakish S2? cause I got to E10 and I’m still very very eager to know what else is going on,@754360 Hi there! Only 10 episodes for season 2. No further details to share but we appreciate your support for the show!,3,natural,content_availability,no,,,2681540.0,,,,True,human
@115940 HuluTV outage during the World Series......y'all are killing me,HuluTV outage during the World Series......y'all are killing me,@449163 Sorry to hear about the trouble! We're here to help get you back in action. What device is this and do you get an error message?,2,rare_boost,live_tv_sports_issue,no,,,1416319.0,,,,True,human
@115940 can't watch anything. What's up? 🤷🏾‍♂️,can't watch anything. What's up? 🤷🏾‍♂️,@351454 Sorry for the trouble and delay! We followed up with more details here: https://t.co/wsKtvb6orT. Thanks for your patience!,8,natural,general_complaint,no,,,1513916.0,,,,True,human
@hulu_support I don’t know why it would be on demand. My zip is 49525. Wouldn’t be a blackout issue.,I don’t know why it would be on demand. My zip is 49525. Wouldn’t be a blackout issue.,"@263577 While we do offer NBC live in many areas, it is currently on-demand in your ZIP. We'll  share the interest in adding this affiliate!",3,natural,live_tv_sports_issue,no,,,2496621.0,,,,False,human
"@hulu_support idk why im signed out on my wii, it wont let me sign in or give me an activ. code, im signed in online but cant get to my acct","idk why im signed out on my wii, it wont let me sign in or give me an activ. code, im signed in online but cant get to my acct","@198663 Apologies, Carissa! There was a brief period where this error was popping up, but the issue has now been resolved. 💜",3,natural,account_access,yes,,,347110.0,,,,True,human
@hulu_support @115940 Update sucks and now we can't even watch! Listen to your customer feedback https://t.co/TLSfb1QDrs,Update sucks and now we can't even watch! Listen to your customer feedback,"@340351 Sorry for the error, we'd love to see if some troubleshooting will clear it out. What device? Try: https://t.co/HXpLyTU79x.",8,natural,device_app_issue,no,,,2035275.0,,,,True,human
@115940 Why do I always have to tell you I'm the one watching? I only have 1 profile. Please let me skip this step.,Why do I always have to tell you I'm the one watching? I only have 1 profile. Please let me skip this step.,"@291629 Apologies, Shane. At this stage, this is intended on living room devices. We'll definitely keep voicing your concern.",3,natural,feature_request,no,,,1290159.0,,,,True,human
@hulu_support Hulu Live has been unwatchable for more than 24 hrs. Want an explanation. Next will ask for a credit. Constant buffering/ no video playback,Hulu Live has been unwatchable for more than 24 hrs. Want an explanation. Next will ask for a credit. Constant buffering/ no video playback,"@187187 Should you still be running into this or for credit options, please contact us via phone/chat: https://t.co/6YdK7bvQN7. 2/2",9,natural,live_tv_sports_issue,yes,,,2449976.0,,,,False,human
My god @115940 your live stream of the SEC Championship game is atrocious. Spent more time looking at the buffering screen but o0o0o0 the commercials show perfectly....#irritated,My god your live stream of the SEC Championship game is atrocious. Spent more time looking at the buffering screen but o0o0o0 the commercials show perfectly....#irritated,"@251340 Our sincere apologies! We're investigating with high priority and working to resolve this ASAP. For now, try using: https://t.co/qeNe09yc0o on a supported device (https://t.co/MRh7LxlQXc).",9,natural,live_tv_sports_issue,no,,,561298.0,,,,True,human
Bro why tf Hulu wont work on my ipad🙄,Bro why tf Hulu wont work on my ipad🙄,@143367 Yikes! Still having trouble? What issues are you coming across? Let's try: https://t.co/C3IOhQGizS. Any improvement?,5,natural,device_app_issue,no,,,122660.0,,,,True,human
@hulu_support the last 2 days we’ve had buffering on #Futureman episode 2 via PS4 app in Seattle. WA. We haven’t been able to finish. Thanks for looking into it!,the last 2 days we’ve had buffering on #Futureman episode 2 via PS4 app in Seattle. WA. We haven’t been able to finish. Thanks for looking into it!,@730340 Oh no! Let's get you streaming smoothly. Any improvement after restarting your PS4 and working through: https://t.co/jo8RWfepy3?,1,rare_boost,playback_error,no,,,2575599.0,,,,True,human
@115940 @hulu_support all I want to do is watch last nights greys anatomy and it keeps freezing every 5 seconds. WTF. ps my WiFi is fine,all I want to do is watch last nights greys anatomy and it keeps freezing every 5 seconds. WTF. ps my WiFi is fine,"@374091 Apologies, Devon! Which device are you using to stream? See if these steps help out: https://t.co/HXpLyTU79x. Any better?",8,natural,playback_error,no,,,1076858.0,,,,True,human
@115940 @hulu_support  Please Add all season(s) of 'Who's Line is it Anyway?'  As well as the Sitcom 'According to Jim',Please Add all season(s) of 'Who's Line is it Anyway?' As well as the Sitcom 'According to Jim',@291599 We can happily share the interest in more Who's Line and in adding According to Jim with our content team!,7,rare_boost,content_availability,no,,,1302182.0,,,,True,human
"Dear @115940, please fix the order of #DawsonsCreek episodes in season 2. “Psychic Friends” is not the second episode. 😡","Dear , please fix the order of #DawsonsCreek episodes in season 2. “Psychic Friends” is not the second episode. 😡",@509334 We weren't able to reproduce this on our end. What device are you using when Psychic Friends is listed as season 2 episode 2?,4,rare_boost,content_availability,no,,,1673914.0,,,,True,human
Handmaid's Tale season 2 when @115940 @hulu_support,Handmaid's Tale season 2 when,"@716797 Blessed be the fruit. S2 will premiere in 2018, but stay tuned to: https://t.co/7ajAOtwFBY for more updates. Under his eye. 👁",7,natural,content_availability,no,,,2516247.0,,,,True,human
"@hulu_support Eww! Hulu's community managers have to work on Saturday nights! God, I'm so sorry. Are you okay? Do you need help? Blink twice if you need rescued!","Eww! Hulu's community managers have to work on Saturday nights! God, I'm so sorry. Are you okay? Do you need help? Blink twice if you need rescued!","@682440 It's no trouble at all, knowing that viewers like you have our back! Thanks, fam. 🤗👏  We’re just a tweet away if you need us!",5,rare_boost,praise_chatter,no,,,2363633.0,,,,False,human
@hulu_support So I should pay for 2 Hulu accounts just to get another screen view without live tv? Is that what you’re suggesting?,So I should pay for 2 Hulu accounts just to get another screen view without live tv? Is that what you’re suggesting?,"@534173 Hi, Charise! Hope you're having a great day so far. Another account would be an option, not a suggestion. We'll share the feedback!",0,rare_boost,feature_request,no,,,1777797.0,,,,False,human
"@hulu_support It is usually during ads, yes.","It is usually during ads, yes.",@682441 Thanks! We're investigating. We recommend using a different device if troubleshooting doesn't resolve: https://t.co/hYA1Rc0GBl.,3,natural,other,no,,,2363635.0,,,,False,human
@hulu_support I am experiencing Teal-8 please advise as soon as possible. I just switched to Hulu TV I hope I haven't made a mistake.,I am experiencing Teal-8 please advise as soon as possible. I just switched to Hulu TV I hope I haven't made a mistake.,"@377375 Hi! Are you running into this error when attempting to watch NBC live? If so, we're investigating this and working on a fix!",5,rare_boost,playback_error,no,,,2426864.0,,,,True,human
@115940 I'm new to Hulu. Not impressed so far. Never had to deal w commercials every 6-7 mins on other streaming services.,I'm new to Hulu. Not impressed so far. Never had to deal w commercials every 6-7 mins on other streaming services.,"@252548 Apologies! By offering ads on our base plan we're able to provide a more affordable option, but if you prefer no interruptions, we also have a No Commercials plan: https://t.co/cZHqrcmWQY.",5,natural,other,no,,,565564.0,,,,True,human
@hulu_support I'm still having issues this morning with live service. Constant buffering and skipping around. What gives?,I'm still having issues this morning with live service. Constant buffering and skipping around. What gives?,@621021 So sorry! The live playback issues happening this weekend have been investigated/resolved: https://t.co/iwd4qdktMg.,9,natural,live_tv_sports_issue,no,,,7714.0,,,,False,human
@232593 @115940 On the east coast. Tired but must watch @232593 season finale. Bring us a 3rd Season!,On the east coast. Tired but must watch season finale. Bring us a 3rd Season!,"@279593 We're so happy to hear you're interested in seeing more of Chance! We don't have any news to share at this time, but please keep: https://t.co/7ajAOtwFBY bookmarked for any future announcements. We'll pass along the interest in the meantime! 💚",7,natural,content_availability,no,,,2941843.0,,,,False,human
@hulu_support Where do I find settings?? Not on computer &amp; can't find it on the TV screen.,Where do I find settings?? Not on computer &amp; can't find it on the TV screen.,"@239256 From the Roku home menu, you should see a list of options—including “My Channels,” “Channel Search,” “Store,” and “Settings.”",0,rare_boost,device_app_issue,no,,,191902.0,,,,False,human
wtf happened to episode 2 &amp; 3 of the good doctor @hulu_support,wtf happened to episode 2 &amp; 3 of the good doctor,@287186 Sorry! Our streaming rights to The Good Doctor now only allow us to post the 5 most recently aired eps. We'll share your feedback!,4,natural,content_availability,no,,,700508.0,,,,True,human
"@hulu_support I don't have a timestamp because it happened like three days ago, and no, just seems to be during Peep Show. Maybe have no ads at all?","I don't have a timestamp because it happened like three days ago, and no, just seems to be during Peep Show. Maybe have no ads at all?","@422706 Gotcha. If you notice it happening again, let us know the timestamp and we'll investigate. For no ads: https://t.co/cZHqrcmWQY.",3,natural,other,no,,,1294825.0,,,,False,human
@hulu_support Getting an authentication error on my Nintendo Wii. Hulu works fine on my laptop but I want to watch on my television.,Getting an authentication error on my Nintendo Wii. Hulu works fine on my laptop but I want to watch on my television.,"@198536 Sorry for the delay! Is this issue still occurring? If so, try: https://t.co/HXpLyTU79x and https://t.co/mUY9PJx9Lw.",8,rare_boost,account_access,yes,,,346671.0,,,,True,human
I don't know who doesn't allow it but the entire show of @132338 #RAW needs to be shown on @115940. So much good stuff is missed.,I don't know who doesn't allow it but the entire show of #RAW needs to be shown on . So much good stuff is missed.,"@793439 Hey, Matthew! The content owner provides us with a 90 minute special, so we don't make any edits on our end.",3,natural,content_availability,no,,,2854230.0,,,,True,human
Oh course @115940 logs me out and won't let me back in right as all my shows come back on! 😭,Oh course logs me out and won't let me back in right as all my shows come back on! 😭,@183414 Sorry to hear of the trouble Katelyn. Still having trouble logging in? Try powering down the device for 1 minute. Better?,3,natural,account_access,yes,,,282937.0,,,,True,human
@hulu_support it's a real shame you guys don't invest in having a working Android app.  It makes it hard to invest money in your product.,it's a real shame you guys don't invest in having a working Android app. It makes it hard to invest money in your product.,"@500674 Sorry for any frustrations, Stuart! Having trouble loading our app or w/ playback? If so, try: https://t.co/bKrKTfspC1.",3,natural,general_complaint,no,,,1637012.0,,,,True,human
@115940 PLEASE GET THE MAKING THE BAND SEASONS! #DanityKane @65272,PLEASE GET THE MAKING THE BAND SEASONS! #DanityKane,"@487167 Hey there! We can't make any promises, but we'll gladly share your request for Making the Band to come to Hulu in the future.💜",3,natural,content_availability,no,,,1582817.0,,,,True,human
"@hulu_support wtf? Was just watching 30 for 30 ric flair, paused it to go outside, now not available????? Have it added to my stuff to record and it's not playing!!! Ruining my bday drinking game!!!!","wtf? Was just watching 30 for 30 ric flair, paused it to go outside, now not available????? Have it added to my stuff to record and it's not playing!!! Ruining my bday drinking game!!!!","@619951 Our sincere apologies, Anton! What device are you using to stream? Does the content work from Browse &gt; Networks &gt; A-Z?",9,rare_boost,playback_error,no,,,2098767.0,,,,True,human
@hulu_support hulu crashes on me every 20 minutes or so. Every single day,hulu crashes on me every 20 minutes or so. Every single day,@304275 Oh no! That's not the experience we want you to have. What device is in use? Any errors? Start with: https://t.co/HXpLyTU79x.,5,natural,playback_error,no,,,771529.0,,,,True,human
@hulu_support Any plans to include AMC with live TV package?,Any plans to include AMC with live TV package?,"@195216 Hiya Jean! We're unable to offer AMC live due to streaming rights, but we'll gladly share your request with our team! 💚",6,rare_boost,content_availability,no,,,332649.0,,,,True,human
@hulu_support I thought the point of my “watchlist” was so I didn’t have to actually search the show every time a new episode happens. I’m reallyyyyy annoyed.,I thought the point of my “watchlist” was so I didn’t have to actually search the show every time a new episode happens. I’m reallyyyyy annoyed.,"@173823 This is a known issue our team is working to resolve, Chanel. Once that's pushed out, things should be back to normal for you.",4,rare_boost,device_app_issue,no,,,2523665.0,,,,False,human
"When will Life on the Murder Scene, the My Chemical Romance documentary that is a rich piece of American film history, be available on streaming services? @115940 @116602 care to speak on this?","When will Life on the Murder Scene, the My Chemical Romance documentary that is a rich piece of American film history, be available on streaming services? care to speak on this?","@222502 Hey, Kim! Great suggestion--while we don't currently have the streaming rights, we'll be sure to share the interest in adding Life on the Murder Scene with our content team!",3,natural,content_availability,no,,,453115.0,,,,True,human
Hey @hulu_support can ya help me out I don't have time to wait on hold! Thanks!!,Hey can ya help me out I don't have time to wait on hold! Thanks!!,"@619522 Sorry! If you're still having trouble, let us know the details. For account-related concerns, please reach back out via phone/chat.",1,rare_boost,general_complaint,no,,,2097136.0,,,,True,human
"@115940 when are you going to stream #mash ? It's past ""late summer"" already","when are you going to stream #mash ? It's past ""late summer"" already","@238418 Sorry for any frustration, Kristy! Our team is working to get the 4077th ready for streaming, but sadly, we don't have any exact dates to share yet. If there is anything else we can assist with in the meantime, don't hesitate to let us know.",3,rare_boost,content_availability,no,,,514290.0,,,,True,human
@hulu_support NBC in Cincinnati “temporarily unavailable”.  Makes it difficult to watch Sunday Night Football.,NBC in Cincinnati “temporarily unavailable”. Makes it difficult to watch Sunday Night Football.,"@675364 Sorry! This is a known issue we're looking into. For now, you can watch the game here: https://t.co/TlLflxFPZp.",8,rare_boost,live_tv_sports_issue,no,,,2333612.0,,,,True,human
You're killing me @115940! Playback failure every commercial break! This is not the time to choke. #WorldSeries2017,You're killing me ! Playback failure every commercial break! This is not the time to choke. #WorldSeries2017,@412834 Sorry for the delay in getting back to you! Let us know what device this is on. Have you tried out: https://t.co/HXpLyTU79x?,3,natural,live_tv_sports_issue,no,,,1248116.0,,,,True,human
"@hulu_support Just got Hulu Live Beta will you be adding AMC , BET, VH1, MTV and WE Tv?","Just got Hulu Live Beta will you be adding AMC , BET, VH1, MTV and WE Tv?","@527051 Hi, Alva! No news to share, but we'll definitely express your interest in seeing these networks added to our Live TV service.",6,rare_boost,content_availability,no,,,1748494.0,,,,True,human
"@hulu_support I Hate to say this, but your services absolutely awful once again I cannot watch the World Series. I am beyond angry!","I Hate to say this, but your services absolutely awful once again I cannot watch the World Series. I am beyond angry!","@117295 Apologies, Ray! What sort of issue are you running into? Are you still using Apple TV? Have you tried: https://t.co/HQL1KwGgWo?",2,natural,live_tv_sports_issue,no,,,1411229.0,,,,True,human
@hulu_support it is a roku TV actually,it is a roku TV actually,"@399137 Thanks for that! Clicking on a show brings up the Details and just to the right is Episodes, which has all seasons/episodes.",6,natural,other,no,,,1187060.0,,,,False,human
@hulu_support These were first things I done. I never had problems with most competing streaming providers. Using channel app solved buffer issue. (1/2),These were first things I done. I never had problems with most competing streaming providers. Using channel app solved buffer issue. (1/2),"@327902 We'd love to send some more custom troubleshooting your way! Which devices are you using? If site, try: https://t.co/6xNmexfdiX.",3,natural,playback_error,no,,,1598499.0,,,,False,human
@115940 when are you going to change the website over to the new UI so it matches the AppleTV? It has been months since the switch and we still have two lists to keep track of between the website and apps.,when are you going to change the website over to the new UI so it matches the AppleTV? It has been months since the switch and we still have two lists to keep track of between the website and apps.,"@795114 Sorry for any trouble! No release date to share, but we're always working on adding more supported devices to the new experience.",3,natural,feature_request,no,,,2862244.0,,,,True,human
@hulu_support do you carry the Channel- Fox College Sports?,do you carry the Channel- Fox College Sports?,"@556322 It's not currently included with our offering, but we can let our team here know you'd love to see it added in the future.",3,natural,content_availability,no,,,1861320.0,,,,True,human
"Hey, Hulu. It's Wednesday. Still no NBC live (ever since Sunday Night Football). All other channels are fine. I'm in the Seattle area 98155. @115940 @hulu_support","Hey, Hulu. It's Wednesday. Still no NBC live (ever since Sunday Night Football). All other channels are fine. I'm in the Seattle area 98155.",@230708 Our sincerest apologies! We greatly appreciate your continued patience as we work to resolve this issue.,9,natural,live_tv_sports_issue,no,,,2483929.0,,,,True,human
I wish season 3&amp;4 of Gravity Falls was on @115940 @hulu_support,I wish season 3&amp;4 of Gravity Falls was on,@597648 Hey Veronica! We'd be more than happy to pass that request along to our content team for you. Thanks for tweeting us. 👍,7,rare_boost,content_availability,no,,,2020878.0,,,,True,human
"@hulu_support Hulu app is stuck on ""Welcome, Robert"" screen. Is the service down?","Hulu app is stuck on ""Welcome, Robert"" screen. Is the service down?","@408020 Oh no! We're sorry to hear about the trouble you're having, Robert. What device are you using? Start here: https://t.co/HXpLyTU79x",0,natural,device_app_issue,no,,,1227714.0,,,,True,human
@hulu_support I just signed up solely so I can watch Last Man Standing.  When will it be available?,I just signed up solely so I can watch Last Man Standing. When will it be available?,"@481122 Sorry for the confusion, Bill! We don't have the rights to Last Man Standing. We'll express your desire in seeing it added to Hulu.",8,natural,content_availability,no,,,1555905.0,,,,True,human
"Hey @115940 why does my firestick overheat ONLY on your new app
Sidebar, why does your app run like garbage","Hey why does my firestick overheat ONLY on your new app Sidebar, why does your app run like garbage","@302569 If: https://t.co/TR6ei0cnf1 doesn't fix the overheating, chat or call: https://t.co/6YdK7bvQN7. We'll take a closer look. 2/2",3,rare_boost,device_app_issue,no,,,763944.0,,,,True,human
"@hulu_support any idea why WCNC (NBC) in Charlotte,NC keeps going ""unavailable""? Been happening on/off for a week?","any idea why WCNC (NBC) in Charlotte,NC keeps going ""unavailable""? Been happening on/off for a week?","@725184 Sorry for the trouble, Jonathan! Our team is currently investigating this issue. We appreciate your patience as we work on a fix.",0,adversarial,live_tv_sports_issue,no,,2553274.0,2553274.0,1.0,multi_question,0.0,True,ai_claude
"@115940 sorry but your ""Live TV"" is sub par, and I WILL be canceling. Guess I'll be going back to @115946","sorry but your ""Live TV"" is sub par, and I WILL be canceling. Guess I'll be going back to","@332857 Sorry to hear this, Lanier. We'd love the opportunity to assist. Let us know more details about the difficulties and device.",2,escalation_sensitive,general_complaint,no,,896283.0,896283.0,0.0,,1.0,True,ai_claude
"@hulu_support Who in the hell do you think you are?! I go to your website for help, confirmed it’s your website you want me to put a five dollar deposit for support so that you can figure out why you’re running eight commercials instead of the four at the top of my screen?!","Who in the hell do you think you are?! I go to your website for help, confirmed it’s your website you want me to put a five dollar deposit for support so that you can figure out why you’re running eight commercials instead of the four at the top of my screen?!","@157736 It sounds like you may be on the wrong site, Ricky! We'd never charge you for support. Head to: https://t.co/6YdK7bvQN7.",0,adversarial,general_complaint,yes,,177277.0,177277.0,1.0,"very_long,multi_question",0.0,True,ai_claude
@hulu_support Hi i was charged for a subscription and didn't sign up for it,Hi i was charged for a subscription and didn't sign up for it,@116444 Uh oh! We definitely want to look into this. Please give us a call at the phone number listed here: https://t.co/LkhXOWWq74.,6,escalation_sensitive,billing_charge,yes,,3175.0,3175.0,0.0,,1.0,True,ai_claude
Why am I getting this message only on my phone .@115940? Can watch on every other devise.,Why am I getting this message only on my phone . ? Can watch on every other devise.,@372536 Hulu here! For a list of supported devices check out: https://t.co/iycrTfWKgB. Let us know if you have any further questions. 👍🏽,9,natural,device_app_issue,no,,1400322.0,1400322.0,0.0,,0.0,True,ai_claude
@hulu_support @115940 any updates on bringing iCarly to Hulu?,any updates on bringing iCarly to Hulu?,"@213320 Hi there, Noah! No news to share, but keep an eye on this page for any updates: https://t.co/r9MCqHxrfq. Hope this helps!",3,adversarial,content_availability,no,,412126.0,412126.0,1.0,very_short,0.0,True,ai_claude
@hulu_support Are there any issues on your end? Program pauses/buffers throughout episode but commercials come through with no issues. Speeds on my end are sufficient.,Are there any issues on your end? Program pauses/buffers throughout episode but commercials come through with no issues. Speeds on my end are sufficient.,"@221353 Oh no! Which device is this happening on? If the issue continues, try these steps in the meantime: https://t.co/HXpLyTU79x.",4,natural,playback_error,no,,448897.0,448897.0,0.0,,0.0,True,ai_claude
"Man @115940 help center sucks. They charged me months after I canceled and they I've spend 30 minutes on chat where the guy answers every 4 minutes, then starts asking me to look up my past history on my bank account to figure out when I cancelled. Ridiculous. #Hulu","Man help center sucks. They charged me months after I canceled and they I've spend 30 minutes on chat where the guy answers every 4 minutes, then starts asking me to look up my past history on my bank account to figure out when I cancelled. Ridiculous. #Hulu","@279831 Sorry for any frustrations, Steven! Please send us a DM with your email and billing  zip. We'll take a peek here on our end.",0,adversarial,billing_charge,yes,,670118.0,670118.0,1.0,very_long,1.0,True,ai_claude
Are the new @1684 Christmas Movies going to be on @115940?,Are the new Christmas Movies going to be on ?,"@525390 Hiya! We don't have the rights to stream Hallmark Christmas movies, but we'll gladly let our team know you're interested! 💚",0,natural,content_availability,no,,1741498.0,1741498.0,0.0,,0.0,True,ai_claude
Dear @115940 fix your shit. This buffering is insufferable.,Dear fix your shit. This buffering is insufferable.,"@124978 Sorry, Steve! Which device are you using to stream? For try, please try a quick device+modem reboot: https://t.co/HXpLyTU79x",0,natural,playback_error,no,,40999.0,40999.0,0.0,,0.0,True,ai_claude
"Here’s the deal, @115940:

You keep giving me old school, pre-CGI, late-1970s Hulk, and I promise not to get angry.

You wouldn’t like me when I’m angry. https://t.co/srDUomyAvy","Here’s the deal, : You keep giving me old school, pre-CGI, late-1970s Hulk, and I promise not to get angry. You wouldn’t like me when I’m angry.",@408352 But the Hulk's ALWAYS angry. 😡 Kidding! 😆 We'd love to share any requests. Do you want Eric Bana Hulk or Mark Ruffalo Hulk?,0,natural,general_complaint,no,,1229400.0,1229400.0,0.0,,0.0,True,ai_claude
"Um, @hulu_support , how is it that you're taking money from my account when I literally unsubscribed to you months ago? I renewed and wth?","Um, , how is it that you're taking money from my account when I literally unsubscribed to you months ago? I renewed and wth?",@336969 Sorry to hear about this! Chat with us here: https://t.co/6YdK7bvQN7 so that we can get to the bottom of this ASAP!,0,escalation_sensitive,billing_charge,yes,,913608.0,913608.0,1.0,multi_question,1.0,True,ai_claude
"@115940 has lowered prices but only for new customers. Between that and the freezing issues, I have decided to cancel my subscription.","has lowered prices but only for new customers. Between that and the freezing issues, I have decided to cancel my subscription.","@220921 We'd hate to see you go, Keesha! Which device is giving you trouble? To see plan options, call/chat: https://t.co/6YdK7bvQN7.",6,escalation_sensitive,billing_charge,yes,,949733.0,949733.0,0.0,,1.0,True,ai_claude
Hulu been saying my accounts on hold cuz I need to update my credit card... but they can still charge me?!? @115940 explain,Hulu been saying my accounts on hold cuz I need to update my credit card... but they can still charge me?!? explain,"@708422 Oh no! This doesn't sound right. When you have a moment, reach out here: https://t.co/6YdK7bvQN7 so we can investigate this ASAP.",0,escalation_sensitive,billing_charge,yes,,2478792.0,2478792.0,1.0,multi_question,1.0,True,ai_claude
"@115940

Anyone know what the following error codes are and how to resolve them??

3(-971)
3(-996)",Anyone know what the following error codes are and how to resolve them?? 3(-971) 3(-996),@462580 Hey there! Which device is this occurring on? Try running through these steps to start: https://t.co/HXpLyTU79x. Any improvement?,9,adversarial,playback_error,no,,1475665.0,1475665.0,1.0,multi_question,0.0,True,ai_claude
@115940 what's up with this new Modern Family where it at???,what's up with this new Modern Family where it at???,@684318 Sorry for the confusion! The show took a break last week. A new ep airs on 11/15 and will be available on Hulu the next day.,0,adversarial,content_availability,no,,2371813.0,2371813.0,1.0,multi_question,0.0,True,ai_claude
This is why Hulu is better than Netflix https://t.co/YBZZpmYUb5,This is why Hulu is better than Netflix,"@222502 Aw, shucks! We appreciate the kind words. We've got Dr. Death Defying on the hunt for the streaming rights for all the rock'n'rollers, crash queens and motor babies, but if there is anything else we can assist with let us know.",3,natural,praise_chatter,no,,464809.0,464809.0,1.0,very_short,0.0,True,ai_claude
i'm nearly SO close to canceling my @115940 account because this damn toyota commercial freezes EVERY. SINGLE. TIME. 😡,i'm nearly SO close to canceling my account because this damn toyota commercial freezes EVERY. SINGLE. TIME. 😡,"@167238 Apologies! What device is in use? Does the app restart when this occurs? The more info, the better! Try: https://t.co/HXpLyTU79x.",0,escalation_sensitive,playback_error,no,,215567.0,215567.0,0.0,,1.0,True,ai_claude
Does anyone like the new @115940 interface? Beautiful and terribly unpleasant to use.,Does anyone like the new interface? Beautiful and terribly unpleasant to use.,"@277126 Sorry to hear this! Have you seen: https://t.co/zS2PPOcsyE? If not, check that out and @ us some troubles. We'd like to help.",0,rare_boost,feature_request,no,,1077260.0,1077260.0,0.0,,0.0,True,ai_claude
I wonder why @115940 only buffers dying the show but some how never during the commercials 🤔🤷🏻‍♂️,I wonder why only buffers dying the show but some how never during the commercials 🤔🤷🏻‍♂️,"@522167 Sorry for the trouble! Try: https://t.co/HXpLyTU79x, https://t.co/HiTFsfb2rK. Call/chat if not resolved (https://t.co/6YdK7bvQN7)",0,adversarial,playback_error,no,,1726538.0,1726538.0,1.0,emoji_heavy,0.0,True,ai_claude
I just had 2hrs of the most frustrating tech support. How does @115940 chat support not know about the tv TV app? I was asked if  the TV app was a watchlist. They didn’t even know that Hulu supports the TV app. I had to tell them about deep linking.,I just had 2hrs of the most frustrating tech support. How does chat support not know about the tv TV app? I was asked if the TV app was a watchlist. They didn’t even know that Hulu supports the TV app. I had to tell them about deep linking.,"@410545 Either way though, our team is now aware of this issue and are investigating. Thanks for your patience as we work on a fix! 2/2",3,adversarial,general_complaint,no,,2765889.0,2765889.0,1.0,very_long,0.0,True,ai_claude
